Symbol,Txn Type,Segment,Buy Date,Buy Qty,Buy Rate (₹),Buy Value (₹),Sell Date,Sell Qty,Sell Rate (₹),Sell Value (₹),P&L Amt (₹),Total days,ISIN,Turnover (₹)
DWARKESH,Trading,NSE-Cash,21-Jun-24,10,77.25,772.5,21-Jun-24,10,78.2,782,9.5,0,INE366A01041,9.5
DWARKESH,Trading,NSE-Cash,25-Jun-24,150,77.1,11565,25-Jun-24,150,77.67,11650.5,86,0,INE366A01041,86
DWARKESH,Trading,NSE-Cash,26-Jun-24,20,76.5,1530,26-Jun-24,20,77,1540,10,0,INE366A01041,10
DWARKESH,Trading,NSE-Cash,28-Jun-24,25,73.9,1847.5,28-Jun-24,25,74,1850,2.5,0,INE366A01041,2.5
ENGINERSIN,Long-Term,BSE-Cash,08-Apr-22,50,69.7,3485,11-Jun-24,50,248,12400,8915,795,INE510A01028,-
ENGINERSIN,Long-Term,BSE-Cash,08-Apr-22,15,69.7,1045.5,03-Jun-24,15,269.35,4040.25,2994.75,787,INE510A01028,-
ENGINERSIN,Long-Term,BSE-Cash,08-Apr-22,10,69.7,697,10-May-24,10,221.95,2219.5,1522.5,763,INE510A01028,-
ENGINERSIN,Long-Term,BSE-Cash,08-Apr-22,10,69.7,697,12-Jun-24,10,254.95,2549.5,1852.5,796,INE510A01028,-
ENGINERSIN,Trading,NSE-Cash,13-May-24,19,221.74,4213.06,13-May-24,19,221.79,4214.01,1.05,0,INE510A01028,1.05
ENGINERSIN,Trading,NSE-Cash,14-May-24,15,246,3690,14-May-24,15,242.63,3639.45,-50.5,0,INE510A01028,50.5
ENGINERSIN,Trading,NSE-Cash,16-May-24,433,253.22,109644.26,16-May-24,433,253.4,109722.2,79.4,0,INE510A01028,79.4
ENGINERSIN,Trading,NSE-Cash,17-May-24,218,258.03,56250.54,17-May-24,218,258.57,56368.26,116.3,0,INE510A01028,116.3
ENGINERSIN,Trading,NSE-Cash,21-May-24,46,272.2,12521.2,21-May-24,46,273.82,12595.72,74.5,0,INE510A01028,74.5
ENGINERSIN,Trading,NSE-Cash,22-May-24,35,267.14,9349.9,22-May-24,35,267.14,9349.9,-0.25,0,INE510A01028,0.25
ENGINERSIN,Trading,NSE-Cash,23-May-24,165,281.27,46409.55,23-May-24,165,280.13,46221.45,-188,0,INE510A01028,188
ENGINERSIN,Trading,NSE-Cash,24-May-24,110,279.45,30739.5,24-May-24,110,280.28,30830.8,91.5,0,INE510A01028,91.5
ENGINERSIN,Trading,NSE-Cash,27-May-24,10,268,2680,27-May-24,10,272.7,2727,47,0,INE510A01028,47
ENGINERSIN,Trading,NSE-Cash,28-May-24,470,263.73,123953.1,28-May-24,470,263.31,123755.7,-199.5,0,INE510A01028,199.5
